name,lat,lng,website,shop_key,logo,visited,rating,Coffeeshop,Hotel,Bar,Food,Attraction,Shopping,McDonald's,Albert Heijn,Closed,Area,Picture Spot
Skinny Bridge,52.36359,4.90237,https://en.wikipedia.org/wiki/Magere_Brug,,,n,,n,n,n,n,y,n,n,n,n,n,n
Stroopperie,52.37586,4.89634,https://www.instagram.com/stroopperie/?hl=en,,,n,,n,n,n,y,n,n,n,n,n,n,n
The Begijnhof,52.36942,4.89049,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/sights/begijnhof,,,n,,n,n,n,n,y,n,n,n,n,n,n
The Big Apple Resturant,52.36661,4.88984,https://thebigapple.nl/en/,,,n,,n,n,n,y,n,n,n,n,n,n,n
The Black Dog,52.37138971,4.889377163,https://www.theblackdog.nl,,,n,,n,n,y,n,n,n,n,n,n,n,n
The Flying Dutchman,52.37781434,4.896311204,https://www.theflyingdutchmanbar.nl/?lang=en,,,n,,n,n,y,n,n,n,n,n,n,n,n
The Grasshopper,52.37546614,4.897306758,https://thegrasshopper.com,,,n,,n,n,y,n,n,n,n,n,n,n,n
The Greasy Spoon,52.36813533,4.875104677,https://www.instagram.com/stories/the.greasy.spoon/,,greasyspoon.jpg,n,,n,n,n,y,n,n,n,n,n,n,n
The Headshop,52.3709,4.89895,https://www.headshop.nl,,,n,,n,n,n,n,n,y,n,n,n,n,n
The Old Church Bar,52.37401243,4.897497654,https://www.instagram.com/theoldchurchbaramsterdam/?hl=en,,,n,,n,n,y,n,n,n,n,n,n,n,n
The Smoking Bull,52.37501,4.89863,http://www.smokingbull.nl,,,n,,n,n,y,n,n,n,n,n,n,n,n
This is Holland,52.38420133,4.902089595,https://www.musement.com/uk/amsterdam/this-is-holland-flight-experience-35752/?lid=58700008219932624&ds_e_adid&ds_e_matchtype&ds_e_device=c&ds_e_network=x&ds_url_v=2&idengine=1323188743&idcampaign=19425198420&idadgroup&nmkeyword&idkeyword&gclsrc=aw.ds&gad_source=1&gad_campaignid=19433037068&gbraid=0AAAAADqaxSdQH_iKg_LmCg2ZVg7v4cze_&gclid=CjwKCAjwrNrQBhBjEiwAoR4VO7XdcaojmZ3uVc3ff15obrfg8JLZ3RbMuyVFCRcCS6BiT8snmNZKMxoC3VwQAvD_BwE,,,n,,n,n,n,n,y,n,n,n,n,n,n
Trompettersteeg,52.3737,4.89785,https://www.atlasobscura.com/places/trompettersteeg,,,n,,n,n,n,n,y,n,n,n,n,n,n
Van der Heijde Kantoorvakhandel,52.38256248,4.887348612,https://www.vanderheijde.nl,,,,,n,n,n,n,n,y,n,n,n,n,n
Van Gogh Museum,52.35809,4.88117,https://www.vangoghmuseum.nl/en,,,n,,n,n,n,n,y,n,n,n,n,n,n
Van Stapele,52.37197546,4.893250444,https://vanstapele.com/en/home/,,,n,,n,n,n,y,n,n,n,n,n,n,n
Van Wonderen Stroopwafels,52.36796,4.89164,https://vanwonderen.co/?srsltid=AfmBOooMqUbjFrjhDYGeIsFVHYPetWoJV4JUXygWsADEP7pqNsy3KPPi,,,n,,n,n,n,y,n,n,n,n,n,n,n
Vlaams Friteshuis Vleminckx,52.36788,4.89096,https://vleminckxdesausmeester.nl,,,n,,n,n,n,y,n,n,n,n,n,n,n
